kategoria,nazwa,adres,teryt_gmina
przedszkole,PRZEDSZKOLE MIEJSKIE NR 4 W GIŻYCKU,"Jagiełły 3, 11-500 Giżycko",2806011
przedszkole,"""SŁONECZKO"" PRZEDSZKOLE NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI","Janusza Kusocińskiego 11, 88-100 Inowrocław",0407011
przedszkole,"ZESPÓŁ SZKÓŁ W ZAKRZEWIE PUBLICZNE PRZEDSZKOLE ""UŚMIECH MALUCHA"" W ZAKRZEWIE","Osiedlowa 25, 87-707 Zakrzewo",0401092
przedszkole,"PRZEDSZKOLE NR 14 MUZYCZNA KRAINA""","św. Ducha 86, 88-100 Inowrocław",0407011
przedszkole,"PRZEDSZKOLE NR 20 ""KUJAWSKIE DZIECI""","Wojska Polskiego 13A, 88-100 Inowrocław",0407011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 2,"Sądowa 5, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 4 IM.M.KONOPNICKIEJ,"Bolesława Prusa 35, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 5 W BYTOMIU,"Aleja Legionów 6, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE INTEGRACYJNE NR 8,"Wrocławska 44, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 9 IM.JULIANA TUWIMA,"Obywatelska 6, 41-907 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 10,"Strzelców Bytomskich 152, 41-914 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 12,"Oświęcimska 17, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 14,"Wilhelma Prokopa 3, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 15 W BYTOMIU IM. MISIA USZATKA,"Szymały 122, 41-933 Bytom",2462011
przedszkole,MIEJSKIE PRZEDSZKOLE PUBLICZNE IM. ŚWIĘTEGO MIKOŁAJA W WĘGLIŃCU,"Kochanowskiego 9, 59-940 Węgliniec",0225064
przedszkole,PRZEDSZKOLE MIEJSKIE NR 16,"Marszałka Józefa Piłsudskiego 71, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 18 W BYTOMIU,"Marszałka Józefa Piłsudskiego 24, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 20,"Brzezińska 26, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 21,"Olimpijska 1a, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE NR 2 TAJEMNICZY OGRÓD,"Walerego Sławka 5, 51-690 Wrocław-Śródmieście",0264069
przedszkole,PRZEDSZKOLE KRASNAL,"Kolejowa 10, 11-500 Giżycko",2806011
przedszkole,NIEPUBLICZNE PRZEDSZKOLE KOLOROWA KRAINA W BIELSKU-BIAŁEJ,"Karpacka 43a, 43-300 Bielsko-Biała",2461011
przedszkole,"PRZEDSZKOLE NIEPUBLICZNE ""KORALIK""","Daszyńskiego 14, 11-500 Giżycko",2806011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 24 W BYTOMIU,"Generała Niedźwiadka-Okulickiego 12b, 41-902 Bytom",2462011
przedszkole,"PRZEDSZKOLE MIEJSKIE NR 25 ""SŁONECZNY ZAKĄTEK""","Stanisława Olejniczaka 9, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 29,"Stefana Czarnieckiego 2, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 30 W BYTOMIU,"Stefana Czarnieckiego 6, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 31,"Kazimierza Pułaskiego 15, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 59,"Księżnej Zofii 3, 71-665 Szczecin",3262011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 32,"Arki Bożka 19, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 35,"Wyzwolenia 125a, 41-907 Bytom",2462011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 61,"Maciejowicka 26, 70-786 Szczecin",3262011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 36,"Księdza Jerzego Popiełuszki 11, 41-906 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 39 ZIELONY ZAKĄTEK,"Zabrzańska 66, 41-907 Bytom",2462011
przedszkole,AKADEMIA KRASNOLUDKÓW PRZEDSZKOLE MIEJSKIE NR 40,"Orzegowska 18a, 41-907 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 42,"Józefa Nickla 12, 41-908 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 43,"Matki Ewy 9, 41-923 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 44,"Reptowska 26, 41-923 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 45,"Świętych Cyryla i Metodego 52, 41-909 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 48 W BYTOMIU,"Świętochłowicka 1, 41-909 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 49 WITAMINKA,"Maurycego Mochnackiego 53, 41-907 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 3 IM.KUBUSIA PUCHATKA,"Podhalańska 13, 41-907 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 33 W BYTOMIU,"Konstytucji 1, 41-905 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 51,"11-go Listopada 1c, 41-933 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 52,"Tysiąclecia 5, 41-933 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 53,"Stanisława Witkiewicza 2, 41-936 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 54,"Bronisława Czecha 34, 41-936 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 56,"9-go Maja 9, 41-935 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 58,"Nowa 66, 41-908 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 59,"Łużycka 12b, 41-902 Bytom",2462011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 63 IM. JANUSZA KORCZAKA Z ODDZIAŁAMI INTEGRACYJNYMI,"Strzelców Bytomskich 248a, 41-933 Bytom",2462011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 5,"Tomaszowska 5, 71-671 Szczecin",3262011
przedszkole,PUBLICZNE PRZEDSZKOLE SAMORZĄDOWE W CZARNOCINIE,"Czarnocin 1, 28-506 Czarnocin",2603022
przedszkole,CENTRUM EDUKACJI PRZEDSZKOLNEJ ANNA NOWAK,"Czarnocin 67, 28-506 Czarnocin",2603022
przedszkole,"PRZEDSZKOLE NIEPUBLICZNE ""PIASTUŚ""","Bolesława Krzywoustego 23, 88-100 Inowrocław",0407011
przedszkole,"NIEPUBLICZNE PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI ""CIUCHCIA""","Armii Krajowej 16, 88-100 Inowrocław",0407011
przedszkole,NIEPUBLICZNE PRZEDSZKOLE KRASNOLUDKI W ŻELISTRZEWIE,"Kasztanowa 6, 84-100 Żelistrzewo",2211072
przedszkole,"PRZEDSZKOLE SAMORZĄDOWE ""BOROWIACZEK""","Pocztowa 2, 89-530 Śliwice",0416052
przedszkole,PRZEDSZKOLE IM. MARII KONOPNICKIEJ W BRODNICY,"Stanisława Wyspiańskiego 12a, 87-300 Brodnica",0402011
przedszkole,PRZEDSZKOLE SIÓSTR MIŁOSIERDZIA IM. MATKI BOŻEJ OD CUDOWNEGO MEDALIKA W RYMANOWIE ZDROJU,"PCK 1, 38-481 Rymanów-Zdrój",1807085
przedszkole,MIEJSKIE PRZEDSZKOLE SPECJALNE NR 6 DLA DZIECI SŁABOWIDZĄCYCH W LEGNICY,"Andromedy 14, 59-220 Legnica",0262011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 62,"Jasna 74, 70-777 Szczecin",3262011
przedszkole,PRZEDSZKOLE NR 1 Z ODDZIAŁAMI INTEGRACYJNYMI IM. JULII GOWIN W ŻYWCU,"Kazimierza Tetmajera 77, 34-300 Żywiec",2417011
przedszkole,PRZEDSZKOLE NR 6 W ŻYWCU,"Sporyska 39, 34-300 Żywiec",2417011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 1 W RYPINIE,"Młyńska 3, 87-500 Rypin",0412011
przedszkole,PRZEDSZKOLE NR 8 IM. MARII KRYSTYNY HABSBURG W ŻYWCU,"Grunwaldzka 17, 34-300 Żywiec",2417011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 2 W RYPINIE,"Wojska Polskiego 11, 87-500 Rypin",0412011
przedszkole,"PRZEDSZKOLE MIEJSKIE NR 3 ""NIEZAPOMINAJKA"" W RYPINIE","Gustawa Sommera 16, 87-500 Rypin",0412011
przedszkole,PRZEDSZKOLE NR 9 W ŻYWCU IM. ANDRZEJA KOMONIECKIEGO,"Poniatowskiego 12, 34-300 Żywiec",2417011
przedszkole,PRZEDSZKOLE NR 10 W ŻYWCU,"Browar Kolonia 44, 34-300 Żywiec",2417011
przedszkole,NIEPUBLICZNE PRZEDSZKOLE W KOSZYCACH MAŁYCH,"Oświatowa 1, 33-111 Koszyce Małe",1216092
przedszkole,PUBLICZNE PRZEDSZKOLE SAMORZĄDOWE IMIENIA „PARKOWE SKRZATY” W KAZIMIERZY WIELKIEJ,"Tadeusza Kościuszki 9, 28-500 Kazimierza Wielka",2603034
przedszkole,PRZEDSZKOLE NR 11 IM. RODZINY KOMOROWSKICH W ŻYWCU,"Osiedle Parkowe 16, 34-300 Żywiec",2417011
przedszkole,PUBLICZNE PRZEDSZKOLE,"gen. Władysława Sikorskiego 17, 42-470 Siewierz",2401074
przedszkole,INTEGRACYJNE PRZEDSZKOLE SAMORZĄDOWE NR 8 W KIELCACH,"Hetmana Stanisława Żółkiewskiego 12, 25-130 Kielce",2661011
przedszkole,AKADEMIA MALUCHA,"Komorowskich 97, 34-300 Żywiec",2417011
przedszkole,NIEPUBLICZNE PRZEDSZKOLE W KOCKU,"Marcina Stępnia 6, 21-150 Kock",0608064
przedszkole,PRZEDSZKOLE PUBLICZNE NR 8,"Różowa 24, 70-781 Szczecin",3262011
przedszkole,"NIEPUBLICZNE PRZEDSZKOLE ""ANIOŁKOWO""","Browar Kolonia 7a, 34-300 Żywiec",2417011
przedszkole,"PRZEDSZKOLE NR 48 ""MORSKA PRZYGODA""","adm. J. Unruga 86, 81-181 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 26 BAJKOWA KRAINA,"Starogardzka 10, 81-050 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 52,"Ignacego Krasickiego 4, 81-384 Gdynia",2262011
przedszkole,PRZEDSZKOLE PUBLICZNE W TURZY,"Turza 280, 33-167 Turza",1216072
przedszkole,PRZEDSZKOLE NR 42 POD MODRZEWIEM,"płk. Stanisława Dąbka 199a, 81-155 Gdynia",2262011
przedszkole,PRZEDSZKOLE NR 4,"Tatrzańska 18, 81-313 Gdynia",2262011
przedszkole,"PRZEDSZKOLE NR 21 ""DEMPTUSIOWO""","Demptowska 42, 81-094 Gdynia",2262011
przedszkole,PRZEDSZKOLE PUBLICZNE NR 20,"Henryka Wieniawskiego 17, 71-130 Szczecin",3262011
