kategoria,nazwa,adres,teryt_gmina
poz,Praktyka Lekarza Rodzinnego,"Wolności 18, 57-120 Wiązów",0217054
poz,Praktyka Lekarza Rodzinnego,"gen. Karola Kniaziewicza 29, 50-455 Wrocław",0264011
poz,Praktyka Lekarza Rodzinnego,"Boguszowska 61, 54-046 Wrocław",0264011
poz,Praktyka Lekarza Rodzinnego - Filia Hermanowska,"Hermanowska 89, 54-314 Wrocław",0264011
poz,Praktyka Lekarza Rodzinnego,"gen. Karola Kniaziewicza 29, 50-455 Wrocław",0264039
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""NOMED""","Stefana Żeromskiego 12, 55-200 Oława",0215011
poz,Niepubliczny Zakład Opieki Zdrowotnej Specjalistyczna Przychodnia Lekarska,"Jana Rubczaka 18, 54-002 Wrocław",0264029
poz,"CENTRUM STOMATOLOGICZNE ""NADENT""","Henryka Sienkiewicza 116, 50-347 Wrocław-Śródmieście",0264069
poz,Praktyka Lekarza Rodzinnego Piotr Szmigiel,"Siekierczyn 341, 59-818 Siekierczyn",0210072
poz,Praktyka  Lekarza  Rodzinnego Maria Szmigiel,"Jana Pawła II 2, 59-800 Zaręba",0210072
poz,Praktyka Lekarza Rodzinnego AnMED,"Nowodworska 53B, 54-400 Wrocław",0264011
poz,Praktyka Lekarza Rodzinnego Andrzej Klusek,"Nowodworska 53 B, 54-440 Wrocław-Fabryczna",0264029
poz,Praktyka Lekarza Rodzinnego Specjalista Medycyny Rodzinnej Łukasz Kozyra,"Kruszwicka 6-8, 53-652 Wrocław-Stare Miasto",0264059
poz,Praktyka Lekarza Rodzinnego Specjalista Medycyny Rodzinnej Łukasz Kozyra  (filia w Miękini),"Lipowa 31, 55-330 Miękinia",0218032
poz,"Centrum Zdrowia Kobiety ""CORFAMED"" sp. z o.o.","Kluczborska 37, 50-322 Wrocław-Śródmieście",0264069
poz,Praktyka Lekarza Rodzinnego Beata Flakowicz,"Sułowska 41, 51-180 Wrocław",0264049
poz,Praktyka Lekarza Rodzinnego,"Hermanowska 89, 54-314 Wrocław-Fabryczna",0264029
poz,CERTAMED SPÓŁKA Z O.O.,"Wierzbowa 9, 55-080 Smolec",0223045
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""KOMP-MED""","Wrocławska 41, 56-321 Bukowice",0213022
poz,Poradnie Specjalistyczne,"Wita Stwosza 16, 50-950 Wrocław",0264059
poz,Zakład Rehabilitacji Leczniczej - Filia Nr 1,"Nadmorska 55, 76-034 Sarbinowo",3209055
poz,"Sanatorium ""Belweder""","Zielona 4, 57-340 Duszniki-Zdrój",0208011
poz,Stacjonarny Całodobowy Zakład Rehabilitacyjny NADMORSKI,"Tysiąclecia 23, 72-330 Mrzeżyno",3205085
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""PEMED""  - Małgorzata Pepera","Zygmunta Krasińskiego 12, 58-130 Żarów",0219084
poz,Przychodnia Stomatologiczna JANUDENT,"Sportowa 9, 55-061 Łagiewniki",0202062
poz,Praktyka Lekarza Rodzinnego,"Baworowo 67, 59-820 Leśna",0210034
poz,Ośrodek Zdrowia w Pobiednej,"Nowomiejska 29, 59-814 Pobiedna",0210035
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""MEDI-LAB"" s.c. Wróbel i Wspólnicy","Dworcowa 5, 58-100 Świdnica",0219011
poz,Szpital,"Marii Skłodowskiej-Curie 52-56, 59-301 Lubin",0211011
poz,Przychodnia w Nielubi,"Nielubia 51, 67-231 Nielubia",0203062
poz,Zakład Diagnostyki Obrazowej w Lubinie,"Marii Skłodowskiej-Curie 54, 59-301 Lubin",0211011
poz,Przychodnia  Miedziowego Centrum Medycyny Pracy i Lecznictwa Specjalistycznego w Lubinie,"Marii Skłodowskiej-Curie 54-60, 59-301 Lubin",0211011
poz,Przychodnia  w Lubinie,"Marii Skłodowskiej-Curie 74, 59-301 Lubin",0211011
poz,Przychodnia  w Legnicy,"Stefana Okrzei 14A, 59-220 Legnica",0262011
