kategoria,nazwa,adres,teryt_gmina
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W MIKLUSZOWICACH,"Mikluszowice 228, 32-708 Mikluszowice",1201032
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W DRWINI,"Drwinia 173, 32-709 Drwinia",1201032
szkola,ZESPÓŁ SZKÓŁ NR 3 IM. STANISŁAWA STASZICA W CIECHANOWIE,"Stefana Okrzei 6, 06-400 Ciechanów",1402011
szkola,ZESPÓŁ SZKÓŁ NR 2 IM. ADAMA MICKIEWICZA W CIECHANOWIE,"Orylska 9, 06-400 Ciechanów",1402011
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH IM. JANA PAWŁA II W SIEWIERZU,"Tadeusza Kościuszki 15, 42-470 Siewierz",2401074
szkola,ZESPÓŁ SZKÓŁ TECHNICZNYCH I ARTYSTYCZNYCH W LESKU,"Al. Jana Pawła II 18 A, 38-600 Lesko",1821034
szkola,ZESPÓŁ PLACÓWEK OŚWIATOWYCH W KOŚCIELCU,"Kościelec 14, 88-170 Kościelec",0407075
szkola,ZESPÓŁ SZKÓŁ SPECJALNYCH W GOLENIOWIE,"Niepodległości 1B, 72-100 Goleniów",3204024
szkola,ZESPÓŁ SZKÓŁ PONADPODSTAWOWYCH W GRODKOWIE,"Krakowska 20, 49-200 Grodków",1601034
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH W USTCE,"Bursztynowa 12, 76-270 Ustka",2212011
szkola,ZESPÓŁ SZKÓŁ NR 1 IM. JÓZEFA PIŁSUDSKIEGO W LIMANOWEJ,"Józefa Piłsudskiego 81, 34-600 Limanowa",1207011
szkola,ZESPÓŁ SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH IM. JANA PAWŁA II W LIMANOWEJ,"Zygmunta Augusta 8, 34-600 Limanowa",1207011
szkola,ZESPÓŁ SZKÓŁ PONADPODSTAWOWYCH IM. INŻ. JÓZEFA MARKA W MSZANIE DOLNEJ,"Józefa Marka 2, 34-730 Mszana Dolna",1207021
szkola,ZESPÓŁ SZKÓŁ IM. KOMISJI EDUKACJI NARODOWEJ W TYMBARKU,"Tymbark 349, 34-650 Tymbark",1207122
szkola,POWIATOWE CENTRUM ROZWOJU EDUKACJI W IŁAWIE,"Mikołaja Kopernika 8a, 14-200 Iława",2807011
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH W CZELADZI,"Grodziecka 29, 41-250 Czeladź",2401021
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH W WOJKOWICACH,"Źrałków 1, 42-580 Wojkowice",2401031
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 14 W GLIWICACH,"Przedwiośnie 2, 44-119 Gliwice",2466011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W BASZNI DOLNEJ,"Szkolna 24, 37-621 Basznia Dolna",1809042
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W DŹWIERZUTACH,"Sienkiewicza 2A, 12-120 Dźwierzuty",2817022
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY IM. ZIEMI MAZURSKIEJ W ORZYNACH,"Orzyny 34, 12-120 Orzyny",2817022
szkola,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W KAMIONNIE,"Powstańców Wielkopolskich 2, 64-421 Kamionna",3014035
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH IM. KAZIMIERZA JAGIELLOŃCZYKA W LIDZBARKU WARMIŃSKIM,"Ignacego Krasickiego 4, 11-100 Lidzbark Warmiński",2809011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 1 W RADOMIU,"Ofiar Firleja 14, 26-600 Radom",1463011
szkola,"ZESPÓŁ SZKÓŁ SKÓRZANO-ODZIEŻOWYCH, STYLIZACJI I USŁUG W RADOMIU","Jana i Jędrzeja Śniadeckich 5, 26-600 Radom",1463011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W DŁUGOŁĘCE,"Szkolna 40, 55-095 Długołęka",0223022
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH W SĘDZISZOWIE,"Tadeusza Kościuszki 7, 28-340 Sędziszów",2602064
szkola,ZESPÓŁ SZKÓŁ W ZAKRZEWIE,"Leśna 3a, 87-707 Zakrzewo",0401092
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 5 IM. ARMII KRAJOWEJ W GLIWICACH,"Sikornik 34, 44-122 Gliwice",2466011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 17 W GLIWICACH,"Płocka 16, 44-164 Gliwice",2466011
szkola,ZESPÓŁ SZKÓŁ EKONOMICZNO-TECHNICZNYCH IM. CICHOCIEMNYCH W GLIWICACH,"Władysława Sikorskiego 132, 44-103 Gliwice",2466011
szkola,ZESPÓŁ SZKÓŁ SPECJALNYCH W ŚWIDNICY,"Rotmistrza Witolda Pileckiego 3, 58-100 Świdnica",0219011
szkola,ZESPÓŁ SZKÓŁ INŻYNIERII ŚRODOWISKA W TORUNIU,"Stefana Batorego 43/49, 87-100 Toruń",0463011
szkola,ZESPÓŁ SZKOLNO – PRZEDSZKOLNY W NOWEJ WSI,"Nowa Wieś 69, 05-660 Nowa Wieś",1406115
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 2 W GLIWICACH,"Partyzantów 25, 44-113 Gliwice",2466011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W MIRKOWIE,"Adama Mickiewicza 19, 55-095 Mirków",0223022
szkola,ZESPÓŁ SZKÓŁ I PLACÓWEK OŚWIATOWYCH IM. EMILA GODLEWSKIEGO W NYSIE,"Marii Rodziewiczówny 1, 48-303 Nysa",1607054
szkola,ZESPÓŁ SZKÓŁ USŁUGOWO - GOSPODARCZYCH,"Poznańska 36, 63-300 Pleszew",3020064
szkola,ZESPÓŁ SZKÓŁ SPECJALNYCH W BRZEGU,"Sergiusza Mossora 4, 49-300 Brzeg",1601011
szkola,ZESPÓŁ SZKÓŁ TECHNICZNO-INFORMATYCZNYCH W GLIWICACH,"Chorzowska 5, 44-100 Gliwice",2466011
szkola,ZESPÓŁ SZKÓŁ SPECJALNYCH IM. JANUSZA KORCZAKA W GLIWICACH,"Dolnej Wsi 74, 44-100 Gliwice",2466011
szkola,ZESPÓŁ SZKÓŁ NR 3 W KIELCACH,"Legionów 4, 25-035 Kielce",2661011
szkola,ZESPÓŁ SZKÓŁ EKONOMICZNYCH W WODZISŁAWIU ŚLĄSKIM,"Szkolna 1, 44-300 Wodzisław Śląski",2415041
szkola,ZESPÓŁ SZKÓŁ ELEKTRYCZNYCH IM. MAJORA HENRYKA SUCHARSKIEGO W GORZOWIE WLKP.,"gen. Jarosława Dąbrowskiego 33, 66-400 Gorzów Wielkopolski",0861011
szkola,ZESPÓŁ SZKÓŁ EKONOMICZNYCH IM. STEFANA STARZYŃSKIEGO W GORZOWIE WLKP.,"30 Stycznia 29, 66-400 Gorzów Wielkopolski",0861011
szkola,ZESPÓŁ SZKÓŁ GASTRONOMICZNYCH IM. FEBRONII GAJEWSKIEJ-KARAMAĆ W GORZOWIE WLKP.,"Okólna 35, 66-400 Gorzów Wielkopolski",0861011
szkola,I ZESPÓŁ SZKÓŁ IM. STANISŁAWA STASZICA WE WSCHOWIE,"Kościuszki 11, 67-400 Wschowa",0812034
szkola,ZESPÓŁ SZKÓŁ PONADPODSTAWOWYCH W WODZISŁAWIU ŚLĄSKIM,"Kardynała Stefana Wyszyńskiego 39, 44-300 Wodzisław Śląski",2415041
szkola,ZESPÓŁ SZKÓŁ TECHNICZNYCH W WODZISŁAWIU ŚLĄSKIM,"Pszowska 92, 44-300 Wodzisław Śląski",2415041
szkola,ZESPÓŁ SZKÓŁ NR 1 IM. MELCHIORA WAŃKOWICZA,"Łąki 2, 05-870 Błonie",1432014
szkola,ZESPÓŁ SZKÓŁ PONADPODSTAWOWYCH W RYDUŁTOWACH,"Obywatelska 30, 44-280 Rydułtowy",2415031
szkola,ZESPÓŁ SZKÓŁ IM. HENRYKA SIENKIEWICZA W GRABOWCU,"Wojsławska 1, 22-425 Grabowiec",0620022
szkola,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W CZERNICHOWIE,"Turystyczna 8, 34-311 Czernichów",2417022
szkola,ZESPÓŁ SZKÓŁ ŻEGLUGI ŚRÓDLĄDOWEJ IM. KMDR. BOLESŁAWA ROMANOWSKIEGO W NAKLE NAD NOTECIĄ,"gen. Henryka Dąbrowskiego 4, 89-100 Nakło nad Notecią",0410034
szkola,ZESPÓL SZKOLNO-PRZEDSZKOLNY NR 2 W LUBSTOWIE,"Kościelna 1a, 62-610 Lubstów",3010105
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W BORKOWIE,"Akacjowa 2, 80-180 Borkowo",2204042
szkola,ZESPÓŁ SZKÓŁ PONADPODSTAWOWYCH W PSZOWIE,"Romualda Traugutta 32, 44-370 Pszów",2415011
szkola,ZESPÓŁ SZKÓŁ BUDOWLANYCH W BRANIEWIE,"Wiejska 2, 14-500 Braniewo",2802011
szkola,ZESPÓŁ SZKÓŁ ZAWODOWYCH IM. JANA LISZEWSKIEGO W BRANIEWIE,"Gdańska 19, 14-500 Braniewo",2802011
szkola,ZESPÓŁ SZKÓŁ ZAWODOWYCH IM. STANISŁAWA STASZICA LIDZBARK WARMIŃSKI,"Orła Białego 5, 11-100 Lidzbark Warmiński",2809011
szkola,ZESPÓŁ SZKÓŁ NR 2 W CIACHCINIE,"Ciachcin Nowy 54, 09-230 Ciachcin Nowy",1419012
szkola,ZESPÓŁ SZKÓŁ NR 3 IM. TOWARZYSTWA PRZYJACIÓŁ DZIECI,"Zagroba 40, 09-230 Zagroba",1419012
